Nr. Commessa,"IMBA  "" IMBALLAGGIO""","NEST  "" TAGLIO / NESTING""","PIEG  "" PIEGATURA""","PROD  "" PRODUZIONE""","PROG  "" PROGETTAZIONE""","SALD  "" SALDATURA""",Totale Ore
"25/254  ""CORAL""",14.72,3.05,12.27,,12.52,113.04,155.6
"25/255  ""CORAL""",14.56,0.56,8.47,,44.38,35.98,103.95
"25/256  ""CORAL""",76.3,3.08,13.43,,56.32,3.48,152.61
"25/257  ""CORAL""",18.7,4.51,12.69,,39.71,0.0,75.61
"25/258  ""GLATT TECHNOLOGY SOLUTIONS GMBH""",,,0.0,,8.12,,8.12
"25/259  ""CORAL""",9.9,6.69,6.72,,22.92,24.31,70.54
"25/260  ""SAT SRL""",1.06,,,,,,1.06
"25/261  ""ELMA SPA""",9.22,6.61,20.82,,6.2,2.53,45.38
"25/262  ""CARRARO ASCENSORI SRL""",4.68,2.13,4.45,,4.53,6.57,22.36
"25/264  ""ARENA ASCENSORI SRL""",33.13,7.56,18.98,,12.77,3.37,75.81
"25/265  ""JAM SRL""",1.09,0.55,3.8,,,,5.44
"25/266  ""ARE SRL""",33.46,5.11,14.01,2.95,61.7,1.17,118.4
"25/267  ""ARE SRL""",12.52,9.04,14.74,,4.73,4.73,45.76
"25/268  ""SOCIETA' ITALIANA ASCENSORI SRL""",9.92,7.62,19.51,,14.43,6.67,58.15
"25/269  ""SAT SRL""",52.09,15.71,52.72,,4.18,44.74,169.44
"25/270  ""CAVATAIO ASCENSORI SRL""",8.16,4.9,10.39,,7.87,9.11,40.43
"25/271  ""SICEM SRL""",7.79,10.4,10.55,3.75,9.74,1.83,44.06
"25/273  ""TRR SOLUTIONS SRL""",5.47,1.52,7.38,,21.44,5.13,40.94
"25/274  ""SAT SRL""",19.89,5.78,12.28,,0.87,39.62,78.44
"25/276  ""GRUPPO OCMA SRL""",12.56,2.39,17.9,,35.36,5.0,73.21
"25/277  ""GRUPPO OCMA SRL""",7.82,3.47,9.07,,6.02,7.31,33.69
"25/278  ""GRUPPO OCMA SRL""",9.36,3.06,16.09,,30.85,6.07,65.43
"25/279  ""KRON LIFT GMBH-SRL""",7.91,3.55,14.96,,9.38,2.7,38.5
"25/280  ""VIMA ASCENSORI SRL""",4.49,0.65,2.45,,3.21,1.1,11.9
"25/281  ""BMP SRL""",3.89,8.98,11.87,,16.08,2.77,43.59
"25/282  ""ARE SRL""",8.56,3.83,16.0,0.13,11.13,6.07,45.72
"25/283  ""ARE SRL""",10.13,5.85,6.77,,64.35,3.11,90.21
"25/284  ""ARE SRL""",5.48,5.08,10.05,2.0,5.26,1.98,29.85
"25/285  ""ARE SRL""",8.59,10.73,13.96,,14.48,,47.76
"25/286  ""ARE SRL""",7.17,2.21,16.39,,6.35,4.89,37.01
"25/287  ""ARE SRL""",5.51,7.33,11.37,,44.87,4.03,73.11
"25/288  ""AFOTEK GMBH""",29.98,9.29,23.11,,46.79,14.1,123.27
"25/289  ""SCHINDLER SPA""",,1.3,0.1,,,,1.4
"25/291  ""VIMA ASCENSORI SRL""",8.51,4.0,13.67,,4.42,4.29,34.89
"25/292  ""UPDINAMIC SRL""",10.3,10.61,25.9,,31.99,12.38,91.18
"25/293  ""SELE LIFT SRL""",6.64,6.2,14.45,,13.04,0.3,40.63
"25/295  ""RIAM ASCENSORI SRL""",17.34,4.81,10.98,,8.33,11.33,52.79
"25/296  ""RIAM ASCENSORI SRL""",14.7,7.09,20.36,1.49,39.22,9.28,92.14
"25/297  ""RIAM ASCENSORI SRL""",12.28,5.79,13.34,,7.43,3.36,42.2
"25/298  ""MARTINELLI ASCENSORI SRL""",0.73,,,,1.38,3.77,5.88
"25/299  ""CEST SRL""",0.68,0.87,0.82,,2.07,,4.44
"25/300  ""PROVINCIA AUTONOMA DI TRENTO""",,,,,3.91,,3.91
"25/301  ""ARE SRL""",9.64,4.86,17.19,,29.52,1.15,62.36
"25/302  ""ARE SRL""",11.43,4.3,13.68,,10.56,5.14,45.11
"25/303  ""ARE SRL""",12.96,3.03,11.61,,49.13,2.57,79.3
"25/304  ""ARE SRL""",11.27,6.28,15.68,,10.15,5.69,49.07
"25/305  ""DISNAMAIR SA""",19.28,3.37,20.74,1.32,21.21,15.4,81.32
"25/306  ""DISNAMAIR SA""",3.88,2.79,,,2.5,73.48,82.65
"25/307  ""DISNAMAIR SA""",21.48,4.87,9.45,,32.97,18.71,87.48
"25/308  ""DISNAMAIR SA""",3.03,4.35,,,2.22,23.23,32.83
"25/309  ""MC MUGLIA ASCENSORI SRL""",6.91,4.15,13.43,,6.68,5.34,36.51
"25/310  ""MARIVO ASCENSORI SRL""",10.22,2.6,10.69,,7.26,2.25,33.02
"25/311  ""ASCENSORI STASI di Stasi Antonio""",0.6,1.5,1.35,,0.57,,4.02
"25/312  ""MARIVO ASCENSORI SRL""",12.86,8.94,14.64,,46.64,95.05,178.13
"25/313  ""MYLIFT ITALIA SRL""",18.81,3.67,23.91,1.74,19.94,11.27,79.34
"25/315  ""GRUPPO OCMA SRL""",0.18,,,,0.5,,0.68
"25/316  ""ARE SRL""",9.79,6.42,14.27,,3.97,3.97,38.42
"25/317  ""ARE SRL""",14.44,8.51,25.42,0.97,14.63,8.07,72.04
"25/318  ""ARE SRL""",18.09,5.23,17.01,,6.05,7.19,53.57
"25/319  ""ARE SRL""",4.41,8.39,19.08,,4.6,3.61,40.09
"25/320  ""ARE SRL""",7.53,4.55,17.71,,18.26,12.14,60.19
"25/321  ""ARE SRL""",0.99,,1.25,,1.43,,3.67
"25/322  ""ARE SRL""",1.76,0.63,1.02,,0.5,,3.91
"25/323  ""BIME ELEVATORI SRL""",12.73,10.88,17.84,,21.87,9.45,72.77
"25/324  ""RIAM ASCENSORI SRL""",22.54,7.46,18.89,,14.03,7.84,70.76
"25/326  ""RIAM ASCENSORI SRL""",22.67,4.08,15.52,,35.12,5.83,83.22
"25/327  ""RIAM ASCENSORI SRL""",16.54,5.07,14.56,,5.55,5.04,46.76
"25/328  ""SAMER SRL""",8.93,0.85,14.4,,5.83,8.26,38.27
"25/329  ""ARE SRL""",5.71,6.31,12.17,,5.84,1.29,31.32
"25/330  ""ARE SRL""",10.1,6.58,18.96,,5.52,3.14,44.3
"25/331  ""ARE SRL""",8.03,2.55,18.74,,7.27,1.72,38.31
"25/332  ""AUFZUGBAU RANGGER MONTAGETECHNIK GMBH""",9.74,2.3,12.45,,16.44,3.77,44.7
"25/333  ""CONDOMINIO P.ZZA DIAZ 6""",0.93,,1.98,,0.85,,3.76
"25/334  ""UPDINAMIC SRL""",18.36,8.95,25.66,,57.71,27.72,138.4
"25/335  ""MEDESY SRL""",,,,,0.98,,0.98
"25/336  ""USAPI SRL""",17.27,1.95,6.44,,7.83,,33.49
"25/337  ""BULGHERINI PU""",6.59,5.8,10.59,0.78,11.34,4.03,39.13
"25/338  ""ALPEMAC SRL""",13.45,3.35,10.75,,4.5,23.62,55.67
"25/339  ""NEULIFT SPA""",22.7,4.61,17.75,0.57,27.13,10.52,83.28
"25/340  ""E4 SRL""",60.79,5.13,20.72,,,2.1,88.74
"25/341  ""ARE SRL""",4.64,2.87,19.57,,20.03,2.23,49.34
"25/342  ""ARE SRL""",5.81,3.53,13.32,,11.18,5.55,39.39
"25/343  ""ARE SRL""",11.1,4.28,18.21,,11.52,4.42,49.53
"25/344  ""GLATT TECHNOLOGY SOLUTIONS GMBH""",,,,,4.21,,4.21
